subj date trialcsv
Julian 2023-05-11 salient_movieclip_wajd_Julian_202305_11124538.csv
Julian 2023-05-11 salient_movieclip_wajd_Julian_202305_11124139.csv
Julian 2023-05-11 salient_movieclip_wajd_Julian_202305_11122927.csv
Julian 2023-05-11 salient_movieclip_wajd_Julian_202305_11123518.csv
Julian 2023-05-11 salient_movieclip_wajd_Julian_202305_11123854.csv
Julian 2023-05-12 salient_movieclip_wajd_Julian_202305_12141028.csv
Julian 2023-05-12 salient_movieclip_wajd_Julian_202305_12140415.csv
Julian 2023-05-12 salient_movieclip_wajd_Julian_202305_12141324.csv
Julian 2023-05-13 salient_movieclip_wajd_Julian_202305_13121238.csv
Julian 2023-05-13 salient_movieclip_wajd_Julian_202305_13120858.csv
Julian 2023-05-13 salient_movieclip_wajd_Julian_202305_13122143.csv
Julian 2023-05-13 salient_movieclip_wajd_Julian_202305_13120150.csv
Julian 2023-05-15 salient_movieclip_wajd_Julian_202305_15130738.csv
Julian 2023-05-15 salient_movieclip_wajd_Julian_202305_15131340.csv
Julian 2023-05-15 salient_movieclip_wajd_Julian_202305_15132449.csv
Julian 2023-05-15 salient_movieclip_wajd_Julian_202305_15131926.csv
Julian 2023-05-16 salient_movieclip_wajd_Julian_202305_16134608.csv
Julian 2023-05-16 salient_movieclip_wajd_Julian_202305_16133847.csv
Julian 2023-05-16 salient_movieclip_wajd_Julian_202305_16133254.csv
Julian 2023-06-05 salient_movieclip_wajd_Julian_202306_05133559.csv
Julian 2023-06-05 salient_movieclip_wajd_Julian_202306_05133122.csv
Julian 2023-06-05 salient_movieclip_wajd_Julian_202306_05134028.csv
Julian 2023-06-06 salient_movieclip_wajd_Julian_202306_06141203.csv
Julian 2023-06-06 salient_movieclip_wajd_Julian_202306_06141755.csv
Julian 2023-06-06 salient_movieclip_wajd_Julian_202306_06142232.csv
Julian 2023-06-06 salient_movieclip_wajd_Julian_202306_06140653.csv
Julian 2023-06-07 salient_movieclip_wajd_Julian_202306_07133519.csv
Julian 2023-06-07 salient_movieclip_wajd_Julian_202306_07134021.csv
Julian 2023-06-07 salient_movieclip_wajd_Julian_202306_07134441.csv
Julian 2023-06-08 salient_movieclip_wajd_Julian_202306_08131931.csv
Julian 2023-06-08 salient_movieclip_wajd_Julian_202306_08130554.csv
Julian 2023-06-08 salient_movieclip_wajd_Julian_202306_08132917.csv
Julian 2023-06-08 salient_movieclip_wajd_Julian_202306_08132438.csv
Julian 2023-06-09 salient_movieclip_wajd_Julian_202306_09132908.csv
Julian 2023-06-09 salient_movieclip_wajd_Julian_202306_09132031.csv
Julian 2023-06-09 salient_movieclip_wajd_Julian_202306_09133344.csv
Julian 2023-06-12 salient_movieclip_wajd_Julian_202306_12110033.csv
